"KEYWORDS_PERFORMANCE_REPORT (Apr 1, 2022-Apr 30, 2022)"
Keyword,Keyword ID,Impressions,Clicks,Cost,Conversions,CTR,Day,First page CPC,First position CPC
box packing,19970046,7,0,0,0.00,0.00%,2022-04-05,0, --
box packaging wholesale,320363848474,3,0,0,0.00,0.00%,2022-04-05,0, --
paper take out bags,5974627366,1,0,0,0.00,0.00%,2022-04-06,0, --
box packaging wholesale,320363848474,5,0,0,0.00,0.00%,2022-04-06,0, --
food paper supply,375655997496,9,2,1380000,2.00,22.22%,2022-04-07,0, --
printed coffee cups,125669854,6,0,0,0.00,0.00%,2022-04-07,0, --
customized plastic cups,298180537823,3,0,0,0.00,0.00%,2022-04-07,0, --
custom packaging plastic bags,447288118765,2,0,0,0.00,0.00%,2022-04-07,0, --
custom brand packaging,320363850914,1,0,0,0.00,0.00%,2022-04-07,0, --
custom tumblers,445766284,22,0,0,0.00,0.00%,2022-04-08,0, --
custom lunch box,298358757353,6,0,0,0.00,0.00%,2022-04-08,0, --
takeaway food packaging,3310488424,1,0,0,0.00,0.00%,2022-04-08,0, --
takeaway cake boxes,296819226690,3,0,0,0.00,0.00%,2022-04-08,0, --
disposable takeaway containers,298851015335,2,0,0,0.00,0.00%,2022-04-08,0, --
custom label printer,17133296,5,0,0,0.00,0.00%,2022-04-08,0, --
box packing,19970046,5,0,0,0.00,0.00%,2022-04-08,0, --
food paper supply,375655997496,5,0,0,0.00,0.00%,2022-04-09,0, --
custom coffee mugs,24172830,13,1,800000,1.00,7.69%,2022-04-09,0, --
insulated tote bags,296150627180,30,0,0,0.00,0.00%,2022-04-09,0, --
personalized plastic bags,151615763,1,0,0,0.00,0.00%,2022-04-09,0, --
label and sticker printer,355501746709,1,0,0,0.00,0.00%,2022-04-09,0, --
shipping bags,10993011,1,0,0,0.00,0.00%,2022-04-09,0, --
custom made coffee mugs,123248875,5,0,0,0.00,0.00%,2022-04-10,0, --
mug design,363833236,47,0,0,0.00,0.00%,2022-04-10,0, --
t shirt bags,295545918470,2,0,0,0.00,0.00%,2022-04-10,0, --
environmentally friendly food packaging,2013799299,5,0,0,0.00,0.00%,2022-04-10,0, --
a label printer,337153513096,16,0,0,0.00,0.00%,2022-04-10,0, --
bags from recycled materials,300521062252,1,0,0,0.00,0.00%,2022-04-10,0, --
logo greaseproof paper,388843237634,1,0,0,0.00,0.00%,2022-04-11,0, --
custom coffee mugs,24172830,8,0,0,0.00,0.00%,2022-04-11,0, --
box packing,19970046,10,0,0,0.00,0.00%,2022-04-11,0, --
sustainable shipping packaging,372209668743,2,0,0,0.00,0.00%,2022-04-11,0, --
tamper evident,10008211,3,0,0,0.00,0.00%,2022-04-12,0, --
food paper supply,375655997496,7,1,860000,1.00,14.29%,2022-04-12,0, --
mug online,10647766,172,2,1470000,2.00,1.16%,2022-04-12,0, --
personalized shot glasses,17884360,3,0,0,0.00,0.00%,2022-04-12,0, --
printed coffee cups,125669854,11,0,0,0.00,0.00%,2022-04-12,0, --
personalized cooler tote,301307250453,5,0,0,0.00,0.00%,2022-04-12,0, --
tamper resistant seal,297947540360,1,0,0,0.00,0.00%,2022-04-13,0, --
personalized mugs bulk,294737484856,2,0,0,0.00,0.00%,2022-04-13,0, --
picnic thermal tote,33775476949,3,0,0,0.00,0.00%,2022-04-13,0, --
custom insulated lunch bags,298771665276,3,0,0,0.00,0.00%,2022-04-13,0, --
custom packaging tape,1156218702,1,0,0,0.00,0.00%,2022-04-13,0, --
personalized plastic bags,151615763,2,0,0,0.00,0.00%,2022-04-13,0, --
kraft mailing bags,319827279994,1,1,1060000,1.00,100.00%,2022-04-13,0, --
custom take out boxes,299629430321,1,0,0,0.00,0.00%,2022-04-14,0, --
t shirt bags,295545918470,6,0,0,0.00,0.00%,2022-04-14,0, --
food brand packaging,590684818957,17,2,1610000,2.00,11.76%,2022-04-14,0, --
eco friendly poly bags,489638315032,1,0,0,0.00,0.00%,2022-04-14,0, --
custom packaging materials,297375217560,2,0,0,0.00,0.00%,2022-04-14,0, --
tamper evident,10008211,1,0,0,0.00,0.00%,2022-04-15,0, --
custom made coffee mugs,123248875,1,0,0,0.00,0.00%,2022-04-15,0, --
take out cups,282983399,7,0,0,0.00,0.00%,2022-04-15,0, --
take out boxes,127340930,10,0,0,0.00,0.00%,2022-04-15,0, --
take out supplies,301620483031,8,0,0,0.00,0.00%,2022-04-15,0, --
biodegradable food containers,1132548569,10,1,650000,0.00,10.00%,2022-04-15,0, --
custom made tags,328470276364,7,0,0,0.00,0.00%,2022-04-15,0, --
shipping bags,10993011,1,0,0,0.00,0.00%,2022-04-15,0, --
sustainable shipping packaging,372209668743,1,0,0,0.00,0.00%,2022-04-15,0, --
mug design,363833236,21,0,0,0.00,0.00%,2022-04-16,0, --
custom tumblers,445766284,10,0,0,0.00,0.00%,2022-04-16,0, --
custom lunch box,298358757353,5,0,0,0.00,0.00%,2022-04-16,0, --
custom printed plastic bag,23934646,1,0,0,0.00,0.00%,2022-04-16,0, --
takeaway cake boxes,296819226690,1,0,0,0.00,0.00%,2022-04-16,0, --
best sticker printing,14424630649,2,0,0,0.00,0.00%,2022-04-16,0, --
shipping bags,10993011,3,0,0,0.00,0.00%,2022-04-16,0, --
food paper supply,375655997496,4,0,0,0.00,0.00%,2022-04-17,0, --
custom made coffee mugs,123248875,8,0,0,0.00,0.00%,2022-04-17,0, --
custom logo lunch coolers,45493446679,1,0,0,0.00,0.00%,2022-04-17,0, --
black shopping bags,14131980,1,0,0,0.00,0.00%,2022-04-17,0, --
custom packaging plastic bags,447288118765,4,0,0,0.00,0.00%,2022-04-17,0, --
label and sticker printer,355501746709,1,0,0,0.00,0.00%,2022-04-17,0, --
custom tumblers,445766284,17,0,0,0.00,0.00%,2022-04-18,0, --
take out boxes,127340930,6,1,790000,1.00,16.67%,2022-04-18,0, --
take out supplies,301620483031,9,0,0,0.00,0.00%,2022-04-18,0, --
black shopping bags,14131980,3,0,0,0.00,0.00%,2022-04-18,0, --
biodegradable food containers,1132548569,9,0,0,0.00,0.00%,2022-04-18,0, --
custom label printer,17133296,6,0,0,0.00,0.00%,2022-04-18,0, --
a label printer,337153513096,6,0,0,0.00,0.00%,2022-04-18,0, --
cheap mailer bags,819998910455,1,0,0,0.00,0.00%,2022-04-18,0, --
sustainable shipping packaging,372209668743,4,1,990000,1.00,25.00%,2022-04-18,0, --
take out cups,282983399,1,0,0,0.00,0.00%,2022-04-19,0, --
custom printed plastic bag,23934646,2,0,0,0.00,0.00%,2022-04-19,0, --
sticker making companies,2344841677,1,0,0,0.00,0.00%,2022-04-19,0, --
a label printer,337153513096,19,0,0,0.00,0.00%,2022-04-19,0, --
folding carton boxes,2101448925,1,0,0,0.00,0.00%,2022-04-19,0, --
custom mugs,10115561,118,1,800000,0.00,0.85%,2022-04-20,0, --
custom tumblers,445766284,10,0,0,0.00,0.00%,2022-04-20,0, --
take out supplies,301620483031,6,0,0,0.00,0.00%,2022-04-20,0, --
custom packaging plastic bags,447288118765,4,0,0,0.00,0.00%,2022-04-20,0, --
shipping bags,10993011,1,0,0,0.00,0.00%,2022-04-20,0, --
box packaging wholesale,320363848474,1,0,0,0.00,0.00%,2022-04-20,0, --
take out supplies,301620483031,6,0,0,0.00,0.00%,2022-04-21,0, --
food brand packaging,590684818957,4,0,0,0.00,0.00%,2022-04-21,0, --
custom poly bags,28539052,2,0,0,0.00,0.00%,2022-04-21,0, --
custom printed food paper,811677270187,2,1,960000,0.00,50.00%,2022-04-22,0, --
custom printed shot glasses,630153869,1,0,0,0.00,0.00%,2022-04-22,0, --
sticker making companies,2344841677,2,0,0,0.00,0.00%,2022-04-22,0, --
label and sticker printer,355501746709,1,0,0,0.00,0.00%,2022-04-22,0, --
personalized plastic bags,151615763,1,0,0,0.00,0.00%,2022-04-22,0, --
sustainable shipping packaging,372209668743,1,0,0,0.00,0.00%,2022-04-22,0, --
paper mailers,295633673426,3,0,0,0.00,0.00%,2022-04-22,0, --
custom coffee cups,25717986,1,1,790000,1.00,100.00%,2022-04-23,0, --
custom insulated lunch bags,298771665276,2,0,0,0.00,0.00%,2022-04-23,0, --
black shopping bags,14131980,4,0,0,0.00,0.00%,2022-04-23,0, --
custom printed plastic bag,23934646,2,0,0,0.00,0.00%,2022-04-23,0, --
takeaway cake boxes,296819226690,5,0,0,0.00,0.00%,2022-04-23,0, --
sticker making companies,2344841677,1,0,0,0.00,0.00%,2022-04-23,0, --
shipping bags,10993011,1,0,0,0.00,0.00%,2022-04-23,0, --
custom printed plastic bag,23934646,3,0,0,0.00,0.00%,2022-04-24,0, --
t shirt bags,295545918470,8,0,0,0.00,0.00%,2022-04-24,0, --
custom made coffee mugs,123248875,6,0,0,0.00,0.00%,2022-04-25,0, --
custom lunch box,298358757353,5,0,0,0.00,0.00%,2022-04-25,0, --
custom printed plastic bag,23934646,1,0,0,0.00,0.00%,2022-04-25,0, --
custom packaging tape,1156218702,1,0,0,0.00,0.00%,2022-04-25,0, --
poly mailer bags,711181765,2,1,950000,1.00,50.00%,2022-04-25,0, --
custom printed greaseproof paper,300821878467,1,0,0,0.00,0.00%,2022-04-26,0, --
take out boxes,127340930,9,0,0,0.00,0.00%,2022-04-26,0, --
best sticker printing,14424630649,3,0,0,0.00,0.00%,2022-04-26,0, --
box packing,19970046,5,2,2300000,0.00,40.00%,2022-04-26,0, --
custom printed food paper,811677270187,2,0,0,0.00,0.00%,2022-04-27,0, --
take out cups,282983399,3,0,0,0.00,0.00%,2022-04-27,0, --
personalized cooler tote,301307250453,1,0,0,0.00,0.00%,2022-04-27,0, --
sticker making companies,2344841677,1,0,0,0.00,0.00%,2022-04-27,0, --
food service paper,296134542139,1,0,0,0.00,0.00%,2022-04-28,0, --
customized plastic cups,298180537823,1,0,0,0.00,0.00%,2022-04-28,0, --
biodegradable food containers,1132548569,2,1,510000,0.00,50.00%,2022-04-29,0, --
best sticker printing,14424630649,6,0,0,0.00,0.00%,2022-04-29,0, --
mug online,10647766,100,1,570000,0.00,1.00%,2022-04-30,0, --
custom printed plastic bag,23934646,1,0,0,0.00,0.00%,2022-04-30,0, --
shipping bags,10993011,2,0,0,0.00,0.00%,2022-04-30,0, --
personalized mugs bulk,294737484856,2,0,0,1.00,0.00%,2022-04-01,0, --
custom tags and labels,1741364232,4,0,0,0.00,0.00%,2022-04-01,0, --
label and print,298270366065,24,0,0,0.00,0.00%,2022-04-01,0, --
take out cups,282983399,4,0,0,0.00,0.00%,2022-04-02,0, --
personalized plastic bags,151615763,2,0,0,0.00,0.00%,2022-04-02,0, --
disposable food containers wholesale,296639492840,1,0,0,0.00,0.00%,2022-04-02,0, --
shipping bags,10993011,1,0,0,0.00,0.00%,2022-04-02,0, --
box packaging wholesale,320363848474,3,1,960000,1.00,33.33%,2022-04-02,0, --
printed cups,10034236,11,0,0,0.00,0.00%,2022-04-03,0, --
take out cups,282983399,2,0,0,0.00,0.00%,2022-04-03,0, --
custom printed shot glasses,630153869,3,0,0,0.00,0.00%,2022-04-03,0, --
personalized mugs bulk,294737484856,3,0,0,0.00,0.00%,2022-04-03,0, --
biodegradable food containers,1132548569,2,0,0,0.00,0.00%,2022-04-03,0, --
take away boxes for food,315083797573,5,0,0,0.00,0.00%,2022-04-03,0, --
box packing,19970046,4,1,930000,1.00,25.00%,2022-04-03,0, --
promotional cooler bags,90514580,1,0,0,0.00,0.00%,2022-04-04,0, --
takeaway cake boxes,296819226690,5,0,0,0.00,0.00%,2022-04-04,0, --
disposable takeaway containers,298851015335,3,0,0,0.00,0.00%,2022-04-04,0, --
custom tumblers,445766284,7,0,0,0.00,0.00%,2022-04-05,0, --
food service paper,296134542139,3,0,0,0.00,0.00%,2022-04-06,0, --
food brand packaging,590684818957,7,1,770000,1.00,14.29%,2022-04-06,0, --
sticker making companies,2344841677,5,0,0,0.00,0.00%,2022-04-06,0, --
custom printed packaging,293584118,2,0,0,0.00,0.00%,2022-04-06,0, --
poly mailer bags,711181765,3,0,0,0.00,0.00%,2022-04-06,0, --
tamper evident,10008211,3,0,0,0.00,0.00%,2022-04-07,0, --
printed cups,10034236,16,0,0,0.00,0.00%,2022-04-07,0, --
personalized plastic bags,151615763,1,0,0,0.00,0.00%,2022-04-07,0, --
poly woven bags,2783890816,2,0,0,0.00,0.00%,2022-04-07,0, --
custom coffee cups,25717986,1,0,0,0.00,0.00%,2022-04-08,0, --
personalized mugs bulk,294737484856,14,0,0,0.00,0.00%,2022-04-08,0, --
logo printed coffee cups,354752594299,1,0,0,0.00,0.00%,2022-04-08,0, --
biodegradable food containers,1132548569,3,0,0,0.00,0.00%,2022-04-08,0, --
personalized plastic bags,151615763,2,1,1130000,1.00,50.00%,2022-04-08,0, --
custom printed packaging,293584118,1,0,0,0.00,0.00%,2022-04-08,0, --
poly mailer bags,711181765,5,0,0,0.00,0.00%,2022-04-08,0, --
custom insulated lunch bags,298771665276,2,0,0,0.00,0.00%,2022-04-09,0, --
custom label printer,17133296,3,0,0,0.00,0.00%,2022-04-09,0, --
custom brand packaging,320363850914,4,0,0,0.00,0.00%,2022-04-09,0, --
custom shot glass,23002641,1,0,0,0.00,0.00%,2022-04-10,0, --
custom coffee cups,25717986,1,0,0,0.00,0.00%,2022-04-10,0, --
custom packaging tape,1156218702,5,0,0,0.00,0.00%,2022-04-10,0, --
custom take out boxes,299629430321,1,0,0,0.00,0.00%,2022-04-11,0, --
custom lunch cooler,300514400107,8,0,0,0.00,0.00%,2022-04-11,0, --
personalized plastic bags,151615763,2,0,0,0.00,0.00%,2022-04-11,0, --
custom packaging plastic bags,447288118765,4,1,840000,1.00,25.00%,2022-04-11,0, --
plastic t shirt bags,488011180472,7,0,0,0.00,0.00%,2022-04-11,0, --
food container branding,943462553458,1,0,0,0.00,0.00%,2022-04-11,0, --
custom printed tags,114339512,1,0,0,0.00,0.00%,2022-04-11,0, --
best sticker printing,14424630649,2,0,0,0.00,0.00%,2022-04-11,0, --
label and print,298270366065,53,0,0,0.00,0.00%,2022-04-11,0, --
eco friendly poly bags,489638315032,1,0,0,0.00,0.00%,2022-04-11,0, --
kraft mailing bags,319827279994,1,0,0,0.00,0.00%,2022-04-11,0, --
food service paper,296134542139,3,0,0,0.00,0.00%,2022-04-12,0, --
custom packaging plastic bags,447288118765,1,1,850000,1.00,100.00%,2022-04-12,0, --
label and print,298270366065,36,2,1920000,2.00,5.56%,2022-04-12,0, --
custom made tags,328470276364,7,0,0,0.00,0.00%,2022-04-12,0, --
poly woven bags,2783890816,2,0,0,0.00,0.00%,2022-04-12,0, --
custom printed shot glasses,630153869,1,0,0,0.00,0.00%,2022-04-13,0, --
customized plastic cups,298180537823,6,0,0,0.00,0.00%,2022-04-13,0, --
sticker making companies,2344841677,6,0,0,0.00,0.00%,2022-04-13,0, --
custom made tags,328470276364,10,0,0,0.00,0.00%,2022-04-13,0, --
mug online,10647766,206,0,0,0.00,0.00%,2022-04-14,0, --
custom made coffee mugs,123248875,8,0,0,0.00,0.00%,2022-04-14,0, --
printed coffee cups,125669854,9,0,0,0.00,0.00%,2022-04-14,0, --
plastic t shirt bags,488011180472,4,1,710000,1.00,25.00%,2022-04-14,0, --
box packaging wholesale,320363848474,4,0,0,0.00,0.00%,2022-04-14,0, --
paper mailers,295633673426,2,0,0,0.00,0.00%,2022-04-14,0, --
custom coffee cups,25717986,2,0,0,0.00,0.00%,2022-04-15,0, --
paper mailers,295633673426,1,0,0,0.00,0.00%,2022-04-15,0, --
custom poly mailers,4042107134,1,0,0,0.00,0.00%,2022-04-15,0, --
food paper supply,375655997496,6,0,0,0.00,0.00%,2022-04-16,0, --
custom insulated lunch bags,298771665276,1,0,0,0.00,0.00%,2022-04-16,0, --
plastic t shirt bags,488011180472,2,0,0,0.00,0.00%,2022-04-16,0, --
box packaging wholesale,320363848474,2,0,0,0.00,0.00%,2022-04-16,0, --
personalized mugs bulk,294737484856,7,0,0,0.00,0.00%,2022-04-17,0, --
custom printed plastic bag,23934646,1,0,0,0.00,0.00%,2022-04-17,0, --
t shirt bags,295545918470,8,1,720000,1.00,12.50%,2022-04-17,0, --
plastic t shirt bags,488011180472,2,0,0,0.00,0.00%,2022-04-17,0, --
custom label printer,17133296,1,0,0,0.00,0.00%,2022-04-17,0, --
custom poly bags,28539052,6,0,0,0.00,0.00%,2022-04-17,0, --
custom mugs,10115561,160,2,1570000,1.00,1.25%,2022-04-18,0, --
personalized shot glasses,17884360,1,0,0,0.00,0.00%,2022-04-18,0, --
custom coffee mugs,24172830,22,0,0,0.00,0.00%,2022-04-18,0, --
personalized tumblers,544432166,2,0,0,0.00,0.00%,2022-04-18,0, --
branded labels,295435309580,1,0,0,0.00,0.00%,2022-04-18,0, --
paper mailers,295633673426,2,0,0,0.00,0.00%,2022-04-18,0, --
custom printed food paper,811677270187,3,0,0,0.00,0.00%,2022-04-19,0, --
custom mugs,10115561,120,2,1380000,1.00,1.67%,2022-04-19,0, --
take out boxes,127340930,14,0,0,0.00,0.00%,2022-04-19,0, --
label and print,298270366065,28,2,1910000,2.00,7.14%,2022-04-19,0, --
custom printed plastic bag,23934646,1,0,0,0.00,0.00%,2022-04-20,0, --
custom tags and labels,1741364232,2,0,0,0.00,0.00%,2022-04-20,0, --
printer for printing labels,361175244957,2,0,0,0.00,0.00%,2022-04-20,0, --
personalized plastic bags,151615763,1,0,0,0.00,0.00%,2022-04-20,0, --
paper mailers,295633673426,1,0,0,0.00,0.00%,2022-04-20,0, --
custom printed food paper,811677270187,1,0,0,0.00,0.00%,2022-04-21,0, --
printed coffee cups,125669854,14,0,0,0.00,0.00%,2022-04-21,0, --
personalized tumblers,544432166,2,0,0,0.00,0.00%,2022-04-21,0, --
personalized plastic bags,151615763,3,0,0,0.00,0.00%,2022-04-21,0, --
disposable takeaway containers,298851015335,1,0,0,0.00,0.00%,2022-04-21,0, --
custom label printer,17133296,1,0,0,0.00,0.00%,2022-04-21,0, --
sticker making companies,2344841677,4,0,0,0.00,0.00%,2022-04-21,0, --
sustainable shipping packaging,372209668743,1,0,0,0.00,0.00%,2022-04-21,0, --
take out boxes,127340930,16,0,0,0.00,0.00%,2022-04-22,0, --
custom printed plastic bag,23934646,2,0,0,0.00,0.00%,2022-04-22,0, --
sustainable food packaging,5645779853,1,0,0,0.00,0.00%,2022-04-22,0, --
custom tags and labels,1741364232,3,0,0,0.00,0.00%,2022-04-22,0, --
personalised tape,297641209911,1,0,0,0.00,0.00%,2022-04-22,0, --
printer for printing labels,361175244957,1,0,0,0.00,0.00%,2022-04-22,0, --
take out boxes,127340930,9,1,910000,1.00,11.11%,2022-04-23,0, --
disposable takeaway containers,298851015335,1,0,0,0.00,0.00%,2022-04-23,0, --
custom insulated lunch bags,298771665276,2,0,0,0.00,0.00%,2022-04-24,0, --
personalized plastic bags,151615763,3,0,0,0.00,0.00%,2022-04-24,0, --
label and sticker printer,355501746709,1,0,0,0.00,0.00%,2022-04-24,0, --
box packing,19970046,5,0,0,0.00,0.00%,2022-04-24,0, --
personalized cooler tote,301307250453,2,0,0,0.00,0.00%,2022-04-25,0, --
custom label printer,17133296,5,0,0,0.00,0.00%,2022-04-25,0, --
environment friendly packaging,297366449680,2,0,0,0.00,0.00%,2022-04-26,0, --
custom mugs,10115561,112,3,2230000,3.00,2.68%,2022-04-27,0, --
custom lunch cooler,300514400107,9,0,0,0.00,0.00%,2022-04-27,0, --
custom printed plastic bag,23934646,2,0,0,0.00,0.00%,2022-04-27,0, --
biodegradable food containers,1132548569,13,0,0,0.00,0.00%,2022-04-27,0, --
personalized plastic bags,151615763,2,0,0,0.00,0.00%,2022-04-27,0, --
compostable mailers,422649443699,1,0,0,0.00,0.00%,2022-04-27,0, --
paper mailers,295633673426,1,0,0,0.00,0.00%,2022-04-27,0, --
t shirt bags,295545918470,1,0,0,0.00,0.00%,2022-04-28,0, --
compostable mailers,422649443699,3,0,0,0.00,0.00%,2022-04-28,0, --
plastic t shirt bags,488011180472,5,0,0,0.00,0.00%,2022-04-29,0, --
takeaway cake boxes,296819226690,1,0,0,0.00,0.00%,2022-04-29,0, --
custom tags and labels,1741364232,2,0,0,0.00,0.00%,2022-04-29,0, --
personalised tape,297641209911,3,0,0,0.00,0.00%,2022-04-29,0, --
custom poly bags,28539052,5,0,0,0.00,0.00%,2022-04-29,0, --
bags from recycled materials,300521062252,1,0,0,0.00,0.00%,2022-04-29,0, --
custom made coffee mugs,123248875,3,0,0,0.00,0.00%,2022-04-30,0, --
branded coffee cups,1213529396,1,0,0,0.00,0.00%,2022-04-30,0, --
take out supplies,301620483031,5,1,610000,1.00,20.00%,2022-04-30,0, --
insulated tote bags,296150627180,64,0,0,0.00,0.00%,2022-04-30,0, --
black shopping bags,14131980,1,0,0,0.00,0.00%,2022-04-30,0, --
paper mailers,295633673426,3,0,0,0.00,0.00%,2022-04-30,0, --
tamper evident,10008211,1,0,0,0.00,0.00%,2022-04-01,0, --
custom tumblers,445766284,16,0,0,0.00,0.00%,2022-04-01,0, --
take out boxes,127340930,2,0,0,0.00,0.00%,2022-04-01,0, --
printer for printing labels,361175244957,1,0,0,0.00,0.00%,2022-04-01,0, --
poly mailer bags,711181765,1,0,0,0.00,0.00%,2022-04-01,0, --
printed cups,10034236,12,0,0,0.00,0.00%,2022-04-02,0, --
custom mugs,10115561,121,3,2000000,3.00,2.48%,2022-04-02,0, --
custom large coffee mugs,1493790223,8,0,0,0.00,0.00%,2022-04-02,0, --
t shirt bags,295545918470,6,0,0,0.00,0.00%,2022-04-02,0, --
label and print,298270366065,42,1,920000,1.00,2.38%,2022-04-02,0, --
label and sticker printer,355501746709,3,0,0,0.00,0.00%,2022-04-02,0, --
compostable mailers,422649443699,1,0,0,0.00,0.00%,2022-04-02,0, --
custom coffee mugs,24172830,20,2,1470000,2.00,10.00%,2022-04-03,0, --
custom coffee cups,25717986,4,0,0,0.00,0.00%,2022-04-03,0, --
custom tags and labels,1741364232,1,0,0,0.00,0.00%,2022-04-03,0, --
folding carton boxes,2101448925,4,0,0,0.00,0.00%,2022-04-03,0, --
box packaging wholesale,320363848474,3,0,0,0.00,0.00%,2022-04-03,0, --
custom poly mailers,4042107134,1,0,0,0.00,0.00%,2022-04-03,0, --
custom made coffee mugs,123248875,2,0,0,0.00,0.00%,2022-04-04,0, --
personalized cooler tote,301307250453,2,1,800000,1.00,50.00%,2022-04-04,0, --
t shirt bags,295545918470,5,0,0,0.00,0.00%,2022-04-04,0, --
environmentally friendly food packaging,2013799299,1,1,760000,1.00,100.00%,2022-04-04,0, --
custom label printer,17133296,7,0,0,0.00,0.00%,2022-04-04,0, --
custom tags and labels,1741364232,9,1,850000,1.00,11.11%,2022-04-04,0, --
label stickers for printing,296964536563,16,0,0,0.00,0.00%,2022-04-04,0, --
custom made coffee mugs,123248875,6,0,0,0.00,0.00%,2022-04-05,0, --
personalized plastic bags,151615763,2,0,0,0.00,0.00%,2022-04-05,0, --
biodegradable food containers,1132548569,4,0,0,0.00,0.00%,2022-04-05,0, --
personalised tape,297641209911,2,1,990000,1.00,50.00%,2022-04-05,0, --
custom coffee cups,25717986,3,0,0,0.00,0.00%,2022-04-06,0, --
printed coffee cups,125669854,11,1,720000,0.00,9.09%,2022-04-06,0, --
mug design,363833236,19,0,0,0.00,0.00%,2022-04-06,0, --
picnic thermal tote,33775476949,2,0,0,0.00,0.00%,2022-04-06,0, --
custom made tags,328470276364,3,0,0,0.00,0.00%,2022-04-06,0, --
personalized plastic bags,151615763,3,0,0,0.00,0.00%,2022-04-06,0, --
custom brand packaging,320363850914,1,0,0,0.00,0.00%,2022-04-06,0, --
compostable mailers,422649443699,2,0,0,0.00,0.00%,2022-04-06,0, --
take out cups,282983399,4,0,0,0.00,0.00%,2022-04-07,0, --
custom label printer,17133296,3,0,0,0.00,0.00%,2022-04-07,0, --
personalised tape,297641209911,3,0,0,0.00,0.00%,2022-04-07,0, --
a label printer,337153513096,14,0,0,0.00,0.00%,2022-04-07,0, --
custom poly bags,28539052,12,0,0,0.00,0.00%,2022-04-07,0, --
food service paper,296134542139,4,0,0,0.00,0.00%,2022-04-08,0, --
food paper supply,375655997496,16,3,2100000,3.00,18.75%,2022-04-08,0, --
printed cups,10034236,14,0,0,0.00,0.00%,2022-04-08,0, --
custom coffee mugs,24172830,13,0,0,0.00,0.00%,2022-04-08,0, --
personalized tumblers,544432166,3,1,780000,1.00,33.33%,2022-04-08,0, --
branded coffee cups,1213529396,4,0,0,0.00,0.00%,2022-04-08,0, --
custom printed plastic bag,23934646,1,0,0,0.00,0.00%,2022-04-08,0, --
label stickers for printing,296964536563,1,0,0,0.00,0.00%,2022-04-08,0, --
label and sticker printer,355501746709,1,0,0,0.00,0.00%,2022-04-08,0, --
compostable mailers,422649443699,2,0,0,0.00,0.00%,2022-04-08,0, --
custom tumblers,445766284,14,0,0,0.00,0.00%,2022-04-09,0, --
small plastic cup,305572345171,2,0,0,0.00,0.00%,2022-04-09,0, --
food brand packaging,590684818957,3,0,0,0.00,0.00%,2022-04-09,0, --
label and print,298270366065,30,0,0,0.00,0.00%,2022-04-09,0, --
folding carton boxes,2101448925,3,0,0,0.00,0.00%,2022-04-09,0, --
tamper evident,10008211,4,0,0,0.00,0.00%,2022-04-10,0, --
take out boxes,127340930,7,0,0,0.00,0.00%,2022-04-10,0, --
shipping bags,10993011,1,0,0,0.00,0.00%,2022-04-10,0, --
paper mailers,295633673426,1,0,0,0.00,0.00%,2022-04-10,0, --
t shirt bags,295545918470,7,0,0,0.00,0.00%,2022-04-11,0, --
takeaway cake boxes,296819226690,8,0,0,0.00,0.00%,2022-04-11,0, --
custom label printer,17133296,9,0,0,0.00,0.00%,2022-04-11,0, --
printer for printing labels,361175244957,1,0,0,0.00,0.00%,2022-04-11,0, --
